,screen,pattern,filter_type,filter_width,slits_dist
231,-8.845,0.012507550249854017,Rectangular,10,4.0
232,-8.84,0.012614403885731894,Rectangular,10,4.0
233,-8.835,0.012719379254008623,Rectangular,10,4.0
234,-8.83,0.012822419006635947,Rectangular,10,4.0
235,-8.825,0.01292346381330589,Rectangular,10,4.0
236,-8.82,0.013022454745608045,Rectangular,10,4.0
237,-8.815,0.013119341584122446,Rectangular,10,4.0
238,-8.81,0.013214064334416192,Rectangular,10,4.0
239,-8.805,0.013306570083075496,Rectangular,10,4.0
240,-8.8,0.013396810661690713,Rectangular,10,4.0
241,-8.795,0.013484733693846097,Rectangular,10,4.0
242,-8.79,0.01357028804858931,Rectangular,10,4.0
243,-8.785,0.013653426981108186,Rectangular,10,4.0
244,-8.78,0.013734104430176548,Rectangular,10,4.0
245,-8.775,0.013812278730718254,Rectangular,10,4.0
246,-8.77,0.0138879032283698,Rectangular,10,4.0
247,-8.765,0.013960939652928786,Rectangular,10,4.0
248,-8.76,0.014031343928441093,Rectangular,10,4.0
249,-8.754999999999999,0.014099078194596229,Rectangular,10,4.0
250,-8.75,0.01416410854960662,Rectangular,10,4.0
251,-8.745,0.014226399591617816,Rectangular,10,4.0
252,-8.74,0.014285921597580345,Rectangular,10,4.0
253,-8.735,0.014342643807769477,Rectangular,10,4.0
254,-8.73,0.014396538078065972,Rectangular,10,4.0
255,-8.725,0.0144475798304456,Rectangular,10,4.0
256,-8.72,0.014495742676193715,Rectangular,10,4.0
257,-8.715,0.014541005915573226,Rectangular,10,4.0
258,-8.71,0.014583354453581911,Rectangular,10,4.0
259,-8.705,0.014622764660814982,Rectangular,10,4.0
260,-8.7,0.014659225449431736,Rectangular,10,4.0
261,-8.695,0.014692727031253076,Rectangular,10,4.0
262,-8.69,0.01472326221056359,Rectangular,10,4.0
263,-8.685,0.014750819764876072,Rectangular,10,4.0
264,-8.68,0.014775398263723113,Rectangular,10,4.0
265,-8.675,0.014796998459138056,Rectangular,10,4.0
266,-8.67,0.014815619739589902,Rectangular,10,4.0
267,-8.665,0.014831265443316593,Rectangular,10,4.0
268,-8.66,0.014843941909407693,Rectangular,10,4.0
269,-8.655,0.014853656085547753,Rectangular,10,4.0
270,-8.65,0.014860424062475282,Rectangular,10,4.0
271,-8.645,0.014864261669329675,Rectangular,10,4.0
272,-8.64,0.014865187984857729,Rectangular,10,4.0
273,-8.635,0.014863225908721652,Rectangular,10,4.0
274,-8.629999999999999,0.014858396071930199,Rectangular,10,4.0
275,-8.625,0.014850727056257965,Rectangular,10,4.0
276,-8.62,0.014840248768845021,Rectangular,10,4.0
277,-8.615,0.014826995406641152,Rectangular,10,4.0
278,-8.61,0.014811003405247726,Rectangular,10,4.0
279,-8.605,0.014792312425754855,Rectangular,10,4.0
280,-8.6,0.014770961656977942,Rectangular,10,4.0
281,-8.595,0.014746998583652133,Rectangular,10,4.0
282,-8.59,0.014720475573670089,Rectangular,10,4.0
283,-8.585,0.014691442679425355,Rectangular,10,4.0
284,-8.58,0.014659953762559389,Rectangular,10,4.0
285,-8.575,0.014626066335708603,Rectangular,10,4.0
286,-8.57,0.01458983824375486,Rectangular,10,4.0
287,-8.565,0.01455133722580689,Rectangular,10,4.0
288,-8.56,0.014510630507009561,Rectangular,10,4.0
289,-8.555,0.014467788690054438,Rectangular,10,4.0
290,-8.55,0.014422887116213286,Rectangular,10,4.0
291,-8.545,0.014376000974212396,Rectangular,10,4.0
292,-8.54,0.014327209259629351,Rectangular,10,4.0
293,-8.535,0.014276597673787954,Rectangular,10,4.0
294,-8.53,0.014224249333338122,Rectangular,10,4.0
